,#SYM,CUR,NAME,CON,ISIN,REBATERATE,FEERATE,AVAILABLE
1156,7167,JPY,MEBUKI FINANCIAL GROUP INC,138396592,JP3117700009,-0.974,0.884,>10000000
1157,7173,JPY,TOKYO KIRABOSHI FINANCIAL GR,165779122,JP3584400000,-1.121,1.031,250000
1158,7177,JPY,GMO FINANCIAL HOLDINGS INC,185916303,JP3386550002,-4.72,4.63,100000
1159,7180,JPY,KYUSHU FINANCIAL GROUP INC,205624376,JP3246500007,-1.015,0.925,7400000
1160,7181,JPY,JAPAN POST INSURANCE CO LTD,206408211,JP3233250004,-1.036,0.946,1600000
1161,7182,JPY,JAPAN POST BANK CO LTD,206408214,JP3946750001,-1.024,0.934,5800000
1162,7184,JPY,FIRST BANK OF TOYAMA LTD-THE,222425058,JP3632150003,-2.45,2.36,150000
1163,7186,JPY,CONCORDIA FINANCIAL GROUP LT,224706714,JP3305990008,-1.0,0.91,>10000000
1164,7189,JPY,NISHI-NIPPON FINANCIAL HOLDI,246980426,JP3658850007,-0.989,0.899,4300000
1165,7190,JPY,MERCURIA INVESTMENT CO LTD,247555141,JP3860150006,-3.061,2.971,20000
1166,7198,JPY,ARUHI CORPORATION,295396133,JP3126290000,-8.4049,8.3149,150000
1167,7199,JPY,PREMIUM GROUP CO LTD,296314008,JP3833710001,-5.51,5.42,250000
1168,7201,JPY,NISSAN MOTOR CO LTD,13905798,JP3672400003,-1.365,1.275,>10000000
1169,7202,JPY,ISUZU MOTORS LTD,13905801,JP3137200006,-1.1219,1.0319,>10000000
1170,7203,JPY,TOYOTA MOTOR CORP,13905804,JP3633400001,-1.1025,1.0125,>10000000
1171,7205,JPY,HINO MOTORS LTD,13905810,JP3792600003,-1.05,0.96,7400000
1172,7211,JPY,MITSUBISHI MOTORS CORP,13905815,JP3899800001,-1.016,0.926,>10000000
1173,7212,JPY,F-TECH INC,14031908,JP3166950000,-1.844,1.754,150000
1174,7220,JPY,MUSASHI SEIMITSU INDUSTRY CO,46021022,JP3912700006,-1.1025,1.0125,1600000
1175,7222,JPY,NISSAN SHATAI CO LTD,14017241,JP3672000001,-1.053,0.963,1600000
1176,7224,JPY,SHINMAYWA INDUSTRIES LTD,14017248,JP3384600007,-1.0,0.91,1200000
1177,7226,JPY,KYOKUTO KAIHATSU KOGYO CO,14017258,JP3256900006,-1.052,0.962,1000000
1178,7230,JPY,NISSIN KOGYO CO LTD,14031915,JP3675300002,-0.994,0.904,1100000
1179,7231,JPY,TOPY INDUSTRIES LTD,13905816,JP3630200008,-1.446,1.356,550000
1180,7236,JPY,T RAD CO LTD,14017265,JP3620200000,-0.998,0.908,100000
